Insert_times,Search_times,num_insertCollisions,num_searchCollisions
2.5606e-07,2.944e-08,5503,203
1.9953e-07,2.685e-08,4176,126
3.5327e-07,4.47e-08,8012,462
2.3056e-07,4.173e-08,4935,281
3.1651e-07,3.265e-08,7083,249
2.8538e-07,4.592e-08,6309,603
2.8287e-07,7.434e-08,6246,1167
4.3406e-07,3.689e-08,10006,240
3.7213e-07,2.625e-08,8457,146
3.437e-07,3.412e-08,7763,324
5.7599e-07,2.852e-08,13555,128
3.7095e-07,5.624e-08,8427,709
5.2351e-07,3.001e-08,12233,169
5.1135e-07,8.786e-08,11915,1701
3.9249e-07,3.892e-08,8954,410
5.3762e-07,3.484e-08,12606,351
4.5587e-07,3.4e-08,10564,251
6.275e-07,2.779e-08,14836,144
6.8598e-07,5.189e-08,16293,615
6.6585e-07,2.698e-08,15802,123
8.9699e-07,4.468e-08,21541,520
8.8825e-07,3.016e-08,21314,151
8.9944e-07,3.323e-08,21517,259
1.01401e-06,6.796e-08,24446,939
1.20794e-06,2.908e-08,29268,235
1.59107e-06,2.502e-08,38816,129
1.22247e-06,3.398e-08,29651,266
1.35536e-06,3.727e-08,32951,379
1.4678e-06,5.268e-08,35776,727
1.91794e-06,3.729e-08,47000,366
1.59746e-06,9.736e-08,38985,1814
2.38181e-06,7.609e-08,58555,1128
2.35729e-06,3.434e-08,57954,301
2.62376e-06,4.022e-08,64604,375
2.94688e-06,8.075e-08,72286,1208
5.0652e-06,7.108e-08,110507,666
9.40567e-06,2.5695e-07,232385,5318
1.01998e-05,9.747e-08,252735,1444
1.79411e-05,6.218e-08,437730,576
2.1185e-05,8.091e-08,525951,924
3.12492e-05,5.713e-08,762339,275
5.97853e-05,5.338e-08,1.54972e+06,230
