Insert , Search
3.65613e-06 , 3.5169e-07
3.62773e-06 , 3.4151e-07
3.63928e-06 , 3.5359e-07
3.67332e-06 , 3.2481e-07
3.64196e-06 , 3.2851e-07
3.69378e-06 , 3.3931e-07
3.7499e-06 , 3.4145e-07
4.0038e-06 , 5.2734e-07
3.88588e-06 , 3.9655e-07
3.81077e-06 , 3.9171e-07
3.76805e-06 , 3.3738e-07
3.80445e-06 , 3.9582e-07
3.79928e-06 , 3.9044e-07
3.78293e-06 , 3.2806e-07
4.50509e-06 , 4.5267e-07
3.92776e-06 , 4.7783e-07
4.38089e-06 , 4.9814e-07
3.6851e-06 , 4.2291e-07
4.2281e-06 , 3.9839e-07
3.88438e-06 , 3.6539e-07
3.94889e-06 , 4.1364e-07
3.95852e-06 , 3.7142e-07
4.05574e-06 , 4.1311e-07
3.98927e-06 , 4.4828e-07
3.98119e-06 , 4.6714e-07
3.98298e-06 , 4.3352e-07
4.00607e-06 , 4.5192e-07
4.07822e-06 , 4.1549e-07
4.035e-06 , 4.4016e-07
4.10993e-06 , 4.338e-07
4.08144e-06 , 4.3062e-07
4.09884e-06 , 4.1079e-07
6.69678e-06 , 4.3293e-07
4.15382e-06 , 4.1603e-07
4.17368e-06 , 4.198e-07
4.16914e-06 , 4.2263e-07
4.21934e-06 , 4.1727e-07
4.15741e-06 , 4.0446e-07
4.20659e-06 , 4.2388e-07
5.55574e-06 , 1.11404e-06
6.04623e-06 , 6.1326e-07
4.93343e-06 , 4.8978e-07
4.19622e-06 , 5.0566e-07
4.20461e-06 , 4.9259e-07
4.21977e-06 , 4.9851e-07
4.18949e-06 , 4.6034e-07
4.20289e-06 , 4.3726e-07
4.23648e-06 , 4.731e-07
4.29398e-06 , 4.8818e-07
4.2054e-06 , 4.2547e-07
5.33701e-06 , 6.5332e-07
4.88632e-06 , 4.2953e-07
4.36078e-06 , 4.295e-07
4.36718e-06 , 3.7408e-07
4.32606e-06 , 4.3461e-07
4.37691e-06 , 4.4852e-07
4.3856e-06 , 5.5389e-07
5.06708e-06 , 4.6926e-07
4.41574e-06 , 4.4689e-07
5.02582e-06 , 4.9874e-07
4.41952e-06 , 5.301e-07
4.43875e-06 , 5.449e-07
4.39309e-06 , 4.8886e-07
4.40125e-06 , 5.1685e-07
5.41312e-06 , 5.6342e-07
4.6621e-06 , 4.4963e-07
4.69335e-06 , 5.6129e-07
4.6828e-06 , 5.0059e-07
4.72377e-06 , 5.2839e-07
4.72855e-06 , 5.2287e-07
4.73245e-06 , 5.4074e-07
4.75397e-06 , 4.8586e-07
4.77985e-06 , 5.4472e-07
4.81425e-06 , 4.9223e-07
