Insert , Search
39648.1 , 19124.4
40463.3 , 18987.5
40169.5 , 19119.7
41058.4 , 20524.4
40395.4 , 19787.2
44966.5 , 20216.8
41818.6 , 20840.5
40585.8 , 21404.3
45360.7 , 19833.3
42474.6 , 19380.4
42544.4 , 20011.1
42112.8 , 22478
41419.6 , 22342.9
47340 , 20617.2
42963.7 , 24352.4
43201 , 20452.9
45111.4 , 21812.3
43784.9 , 22673.2
43618.1 , 23029.2
46211.1 , 21797.4
48353.8 , 22317.5
46315.9 , 23328.1
45508.1 , 25985.1
53031.5 , 19449.8
45811.8 , 22581.2
46105.7 , 22132.3
48954.5 , 23484.6
46723.3 , 23346.6
50366.6 , 22951.6
49634.4 , 23322.9
49461 , 27005
52160.3 , 24707.8
48396.1 , 25280.9
49623.9 , 25840.2
50157.6 , 25464.5
49214.7 , 26097.5
51173.7 , 26924.3
52445.9 , 25671.3
50780.2 , 24522.4
51396.7 , 25347.4
51619.1 , 25624.7
53094.8 , 29335.3
52648.4 , 28898
55494.4 , 25555
54387.8 , 27936.7
52781.3 , 28754.5
53592.2 , 26587.6
55850.2 , 27081.3
55950.9 , 26367.5
54728.7 , 26042.2
60550.8 , 26344.3
53940.9 , 25434.2
62725.1 , 27991.2
53784.4 , 28029.8
55804.9 , 26352.9
54921.8 , 25275.8
54688.7 , 31692.1
56601.5 , 26645.5
54816.6 , 27706.4
57159.2 , 29222.9
63860.2 , 24554.9
57608.2 , 28340.8
57486.7 , 28941.2
56829.7 , 31745.5
56824.6 , 27199.1
57100.7 , 26695.4
58409.3 , 29951
58335.9 , 28099.8
64596.7 , 35588.6
62507.8 , 31610
63082.2 , 31010.6
61715.9 , 28440.9
61986.9 , 27824.1
60192.1 , 27118.2
60929.8 , 27216.9
60184.8 , 28847.1
60886.8 , 31123.9
61485.8 , 30808.9
61151.9 , 31285.6
62527.8 , 31805
62855.7 , 30687.9
62483.1 , 32159.7
63037.2 , 30686
66293.4 , 32374.1
64156.2 , 31169.3
73120.1 , 29990.1
63724 , 30347.2
63632 , 32488.6
64152.6 , 31983.1
63624.7 , 31408.7
64344.7 , 30816.1
64056.3 , 36496.4
66069.6 , 30334.9
64467.9 , 37637.2
64652.3 , 33447.1
65385.3 , 33161.6
65426 , 31457.5
65440.5 , 35708.2
65630 , 38548.9
68031.3 , 30322.3
67059.6 , 35978.9
67531.7 , 34691
67328.5 , 36652
68762 , 33235.8
68770.1 , 33143
70379.6 , 36358.8
72537.7 , 34630.5
71117 , 35762.3
71252.1 , 44287.4
112019 , 63046.4
130463 , 40778.5
72453.9 , 32815.5
71755.1 , 33856.5
71579.5 , 32858.4
73356.2 , 32341.9
78088.9 , 36099.9
74298.1 , 35455.8
73094 , 36176.2
72592 , 32802.6
74093.9 , 37192.5
73873.5 , 37049.9
72768.2 , 32938.2
72467.1 , 37473.4
73076.9 , 44364.8
81111.3 , 36553.5
73044.5 , 34230.2
75096.5 , 32815
73922.2 , 32134.1
74977.1 , 36851.2
74995 , 35632.4
75587.8 , 37840.5
