Insert , Search
109359 , 44658.9
102370 , 37911.9
105776 , 44716.8
103776 , 49355.2
127786 , 47119.8
124426 , 51470.4
109841 , 45325.6
106169 , 58635.6
120905 , 44819.1
101457 , 44806.2
107643 , 57095.8
107211 , 48112.7
107520 , 42422.4
103409 , 43275.2
106391 , 50585.9
105319 , 47676.7
118628 , 39354.1
133885 , 42255.1
132233 , 48963.4
156841 , 56557.6
156453 , 48243
112743 , 38452
108813 , 49834.3
110240 , 55213.9
107263 , 55873.3
120004 , 46051.2
107451 , 58097.8
117136 , 52497.9
109060 , 50537.9
109497 , 49635.1
110179 , 45685.3
108213 , 43886.6
108018 , 47030.2
114324 , 50515.5
